Wall time,Step,Value
1742415967.333795,0,26.0
1742415970.952121,50,13.0
1742415974.803641,100,11.0
1742415977.933088,150,10.0
1742415981.516052,200,11.0
1742415985.501128,250,11.0
1742415989.335714,300,11.0
1742415992.692338,350,10.0
1742415996.762673,400,13.0
1742416001.0830421,450,11.0
1742416005.310024,500,11.0
1742416011.204745,550,10.0
1742416014.7875001,600,9.0
1742416020.1161668,650,12.0
1742416024.143531,700,12.0
1742416028.886027,750,9.0
1742416033.026607,800,12.0
1742416036.720505,850,14.0
1742416040.221097,900,13.0
1742416046.615438,950,11.0
1742416051.886685,1000,8.0
1742416056.1465,1050,16.0
1742416061.0356328,1100,16.0
1742416066.313889,1150,16.0
1742416072.702071,1200,16.0
1742416079.3725288,1250,19.0
1742416083.976137,1300,15.0
1742416092.663369,1350,16.0
1742416099.8007839,1400,20.0
1742416104.801899,1450,19.0
1742416111.996293,1500,18.0
1742416120.17271,1550,18.0
1742416127.920152,1600,23.0
1742416136.321395,1650,14.0
1742416150.830694,1700,22.0
1742416157.789258,1750,27.0
1742416168.422327,1800,31.0
1742416180.638676,1850,28.0
1742416190.516653,1900,28.0
1742416202.626425,1950,37.0
1742416213.970599,2000,28.0
1742416228.5560791,2050,34.0
1742416290.404841,2100,36.0
1742416314.115071,2150,31.0
1742416346.220187,2200,37.0
1742416357.085995,2250,35.0
1742416387.2066,2300,36.0
1742416417.751294,2350,35.0
1742416429.895236,2400,38.0
1742416441.776747,2450,33.0
1742416459.228197,2500,30.0
1742416473.410903,2550,75.0
1742416488.570901,2600,62.0
1742416499.220326,2650,35.0
1742416514.9263139,2700,39.0
1742416534.135298,2750,31.0
1742416563.204581,2800,35.0
1742416573.522934,2850,34.0
1742416613.8763871,2900,35.0
1742416638.1973891,2950,34.0
